univ	ut	au	tu_au	lumc_au	leiden_au
tu delft	000324013300012	4	3	0	0
leiden univ	000297621501040	10	0	0	3
leiden univ	000256409500147	8	0	0	1
tu delft	000322422500027	3	1	0	0
tu delft	000367710900001	3	3	0	0
leiden univ	000289163800311	6	0	0	1
lumc	000411168800012	5	0	0	4
tu delft	000306251000008	4	1	0	0
leiden univ	000373357600384	5	0	0	5
tu delft	000263019900002	5	4	0	0
leiden univ	000286222400004	3	0	0	1
leiden univ	000385324800025	5	0	0	4
leiden univ	000257156600017	6	0	0	5
leiden univ	000313562300009	4	0	0	2
leiden univ	000257784000006	11	0	0	2
tu delft	000259432800003	3	1	0	0
tu delft	000295280900010	7	4	0	0
leiden univ	000335106700011	6	0	1	0
leiden univ	000398188800007	1	0	0	1
leiden univ	000265280500022	5	0	0	1
leiden univ	000252383600002	30	0	0	1
leiden univ	000286045400012	4	0	0	3
leiden univ	000294745000010	7	0	0	2
leiden univ	000339038600007	9	0	0	1
tu delft	000295172000002	3	3	0	0
leiden univ	000279218500004	3	0	0	1
tu delft	000322717300001	4	1	0	0
tu delft	000254685700072	3	2	0	0
tu delft	000296002900021	4	1	0	0
leiden univ	000282305400031	8	0	0	1
leiden univ	000418662600002	11	0	0	5
tu delft	000324354900018	2	2	0	0
tu delft	000257492500005	2	1	0	0
tu delft	000402706700001	2	0	0	1
tu delft	000304858200003	3	1	0	0
leiden univ	000371502500005	1	0	0	1
leiden univ	000276102300034	3	0	0	0
leiden univ	000297790200003	3	0	0	3
leiden univ	000266320000007	4	0	0	3
tu delft	000309094000003	4	2	0	0
leiden univ	000383145900002	5	0	0	1
leiden univ	000305730900029	3	0	0	3
tu delft	000330811700018	6	1	0	4
tu delft	000327367700029	4	4	0	0
leiden univ	000363975100002	4	0	0	1
leiden univ	000297316100013	7	0	0	5
tu delft	000256261900030	7	2	0	0
leiden univ	000344968400011	9	0	0	2
leiden univ	000288775700158	8	0	0	4
tu delft	000358626000005	11	1	0	0
tu delft	000399829200005	7	1	0	0
leiden univ	000342870200390	10	0	0	1
leiden univ	000414197300001	7	0	0	1
leiden univ	000300172600005	4	0	0	2
leiden univ	000343389500037	5	0	0	5
tu delft	000296214900126	5	1	0	0
leiden univ	000361997600019	23	0	0	1
tu delft	000295757900001	4	4	0	0
leiden univ	000414237200011	1	0	0	1
leiden univ	000369083300021	18	0	0	1
leiden univ	000319737000027	42	0	0	1
leiden univ	000359033500004	2	0	0	2
leiden univ	000308952100008	7	0	0	3
tu delft	000263915100012	2	1	0	0
leiden univ	000322755300014	1	0	0	1
leiden univ	000273013200017	8	0	0	1
leiden univ	000385911100005	5	0	0	2
leiden univ	000327996500017	1	0	0	1
tu delft	000309077200012	3	3	0	0
tu delft	000384666800004	4	2	0	0
leiden univ	000357080300019	11	0	0	8
tu delft	000286404100004	3	1	0	0
leiden univ	000386995800005	2	0	0	2
tu delft	000308138000002	4	4	0	0
leiden univ	000395601800002	4	0	0	3
tu delft	000300214800002	7	1	0	0
tu delft	000329476600011	6	3	0	0
leiden univ	000329561600007	6	0	0	3
leiden univ	000412895600013	23	0	0	2
leiden univ	000302487900328	10	0	0	2
leiden univ	000331009000023	10	0	0	1
leiden univ	000341017300001	2	0	0	2
leiden univ	000252459200004	10	0	0	0
leiden univ	000283608600013	4	0	0	0
leiden univ	000208898502139	6	0	0	1
leiden univ	000398112400023	7	0	0	1
tu delft	000291002100029	4	1	0	0
tu delft	000345769100007	7	5	0	0
leiden univ	000326485500027	4	0	0	4
leiden univ	000319737000032	22	0	0	4
leiden univ	000318354000011	2	0	0	1
leiden univ	000313558100015	8	0	0	4
leiden univ	000259785600182	6	0	0	6
leiden univ	000289054600003	5	0	0	0
leiden univ	000279046300011	4	0	0	4
leiden univ	000409167900010	12	0	0	5
tu delft	000298465000001	2	2	0	0
leiden univ	000207649600015	5	0	0	4
tu delft	000305434800011	7	3	0	0
leiden univ	000302546500011	4	0	0	2
leiden univ	000312355400010	38	0	0	1
leiden univ	000346901300032	17	0	0	1
leiden univ	000298722900012	6	0	0	0
leiden univ	000304503500121	19	0	0	1
lumc	000368020104091	21	0	0	3
tu delft	000418956500064	8	0	0	0
leiden univ	000300504800014	5	0	0	0
lumc	000283452900538	11	0	0	7
tu delft	000366903600034	10	1	0	0
leiden univ	000283970200012	7	0	0	1
leiden univ	000397858100024	8	0	0	4
leiden univ	000315046000006	5	0	0	5
tu delft	000392037600004	7	0	0	0
leiden univ	000282160700017	7	0	0	6
leiden univ	000385737000005	3	0	0	2
leiden univ	000372135800002	12	0	0	11
tu delft	000336650500005	5	1	0	0
tu delft	000252592600019	6	1	0	0
leiden univ	000318859400018	9	0	0	2
leiden univ	000269993000014	8	0	0	1
leiden univ	000373403800022	6	0	0	1
tu delft	000277760000006	5	5	0	0
leiden univ	000273629700037	5	0	0	2
leiden univ	000273802200023	14	0	0	1
tu delft	000209431300009	6	1	0	0
tu delft	000349776900002	3	1	0	0
lumc	000209001600134	12	0	0	3
leiden univ	000319053100038	5	0	0	1
leiden univ	000258719100003	3	0	0	3
tu delft	000271351300041	2	1	0	0
leiden univ	000269390600049	4	0	0	4
tu delft	000377047100004	3	1	0	0
tu delft	000377938300006	3	2	0	0
leiden univ	000342866500018	3	0	0	1
leiden univ	000358877100038	4	0	0	3
leiden univ	000296426900020	7	0	0	2
leiden univ	000326189700011	5	0	0	1
tu delft	000315181800047	7	3	0	0
leiden univ	000407206100006	35	0	0	3
leiden univ	000264528100003	4	0	0	1
tu delft	000268981300014	6	5	0	0
leiden univ	000270672100043	5	0	0	2
leiden univ	000338093800006	159	0	0	1
leiden univ	000352719200007	12	0	0	1
leiden univ	000373227800008	2	0	0	1
leiden univ	000275208200001	7	0	0	1
tu delft	000304688000002	3	3	0	0
leiden univ	000393646300079	12	0	0	2
leiden univ	000397595300024	18	0	0	1
tu delft	000326187700014	1	1	0	0
leiden univ	000404655200014	14	0	0	1
lumc	000417143403079	5	0	0	4
leiden univ	000290796700004	8	0	0	8
leiden univ	000298632200003	6	0	0	1
tu delft	000296418000007	3	3	0	0
leiden univ	000384790100231	15	0	0	6
leiden univ	000343399600052	19	0	0	0
leiden univ	000208826501198	8	0	0	2
leiden univ	000370693801692	6	0	0	6
leiden univ	000371749900011	16	0	0	5
tu delft	000360595300001	5	3	0	0
tu delft	000298622500012	7	5	0	0
leiden univ	000284676800006	11	0	0	10
tu delft	000295566200002	5	4	0	0
leiden univ	000335365600003	18	2	0	2
leiden univ	000259264308635	4	0	0	3
lumc	000365412500004	5	0	0	0
leiden univ	000256535600003	7	0	0	5
leiden univ	000279194600006	13	0	0	5
leiden univ	000361229700082	10	0	0	8
tu delft	000342755400031	7	3	0	0
tu delft	000264807800012	2	2	0	0
tu delft	000414679100001	3	3	0	0
leiden univ	000259759100007	9	0	0	5
leiden univ	000339103600016	24	0	0	2
leiden univ	000314379400017	8	0	0	3
leiden univ	000344490700003	11	0	0	1
tu delft	000336951100005	8	1	0	0
leiden univ	000316918200005	5	0	0	3
leiden univ	000315682000084	1	0	0	1
leiden univ	000284815200003	2	0	0	2
tu delft	000312692500024	9	9	0	0
tu delft	000337775900012	6	2	0	0
leiden univ	000320506500006	8	0	0	1
leiden univ	000306278400016	2	0	0	2
leiden univ	000313393500004	24	0	0	1
leiden univ	000284508300023	11	0	0	8
leiden univ	000404241400003	1	0	0	1
leiden univ	000363486000029	7	0	0	1
leiden univ	000400742500007	5	0	0	1
leiden univ	000289320500002	3	0	0	1
tu delft	000388258000035	5	1	0	0
leiden univ	000263864200994	9	0	0	8
tu delft	000331355700003	4	1	0	0
leiden univ	000334672800038	10	0	0	1
lumc	000410014500047	4	0	0	2
tu delft	000360373500014	2	2	0	0
lumc	000383373904215	7	0	0	5
leiden univ	000350803000006	1	0	0	1
tu delft	000326117600006	4	3	0	0
leiden univ	000311704800017	6	0	0	1
leiden univ	000380728800008	2	0	0	0
tu delft	000376459200038	3	3	0	0
tu delft	000391160400054	5	1	0	0
leiden univ	000320977100007	14	0	0	1
tu delft	000365134400006	2	2	0	0
leiden univ	000400372501406	8	0	0	2
tu delft	000294647600066	2	2	0	0
leiden univ	000416942200007	18	0	0	6
leiden univ	000289249000229	8	0	0	8
leiden univ	000307246200018	2	0	0	2
leiden univ	000252862900066	3	0	0	1
leiden univ	000397561600032	10	0	0	10
lumc	000326009000012	25	0	0	6
leiden univ	000359313400002	2	0	0	1
leiden univ	000284755100080	5	0	0	2
leiden univ	000286544900019	5	0	0	2
leiden univ	000353239100002	5	0	0	2
tu delft	000338320000005	4	1	0	0
leiden univ	000282549100007	3	0	0	1
tu delft	000390209000003	6	1	0	0
leiden univ	000281735000309	9	0	0	1
leiden univ	000375091500019	6	0	0	6
leiden univ	000401604500001	24	0	0	1
tu delft	000387924300011	1	1	0	0
leiden univ	000329543900011	5	0	0	5
tu delft	000352282500026	2	1	0	0
leiden univ	000208702703084	10	0	0	10
leiden univ	000330175600005	3	0	0	3
tu delft	000415794400005	3	3	0	0
leiden univ	000305262600005	33	0	0	1
leiden univ	000319460400002	5	0	0	1
leiden univ	000411824104061	12	0	0	3
leiden univ	000349670900007	19	0	0	0
leiden univ	000261028300013	6	0	0	2
tu delft	000299193300007	3	1	0	0
leiden univ	000310393600020	8	0	0	7
tu delft	000354259200030	6	4	0	0
leiden univ	000317830900001	6	1	0	0
leiden univ	000251865700026	8	0	0	4
leiden univ	000342792100007	1	0	0	1
leiden univ	000335419605330	18	0	0	1
leiden univ	000365455100025	6	0	0	4
leiden univ	000304738600023	3	0	0	2
leiden univ	000307108100020	6	0	0	5
tu delft	000406838200003	5	3	0	0
leiden univ	000330380100018	11	0	0	10
leiden univ	000414887200111	1	0	0	1
tu delft	000368192700018	3	3	0	0
leiden univ	000324777300085	11	0	1	1
leiden univ	000271831504194	6	0	0	3
tu delft	000303128500042	6	3	0	0
leiden univ	000377227800016	4	0	0	1
tu delft	000287832100004	4	4	0	0
leiden univ	000255763200529	7	0	0	7
leiden univ	000400348700170	15	0	0	1
leiden univ	000356075400005	3	0	0	1
tu delft	000311873100021	3	3	0	0
tu delft	000302040600013	2	2	0	0
leiden univ	000283992400003	4	0	0	1
tu delft	000293319700012	5	2	0	0
leiden univ	000375255000002	2	0	0	1
tu delft	000283671900002	7	4	0	0
leiden univ	000394667200010	6	0	0	6
leiden univ	000342207200014	1	0	0	1
tu delft	000409918900081	1	1	0	0
leiden univ	000383712600025	70	0	0	1
leiden univ	000330628800026	10	0	0	2
leiden univ	000321765300048	8	0	0	5
tu delft	000252862200103	3	1	0	0
tu delft	000326554100016	4	1	0	0
leiden univ	000281965300014	8	0	0	8
leiden univ	000402849400049	4	0	0	1
leiden univ	000411740400002	2	0	0	2
leiden univ	000254470900004	3	0	0	1
tu delft	000274716000020	1	1	0	0
tu delft	000284023500004	3	3	0	0
leiden univ	000411304100019	6	0	0	1
tu delft	000339732200013	4	3	0	0
leiden univ	000311694800004	2	0	0	1
tu delft	000377288000009	4	2	0	0
tu delft	000258291600009	6	1	0	0
leiden univ	000208898500240	4	0	0	1
leiden univ	000294072600015	6	0	0	2
leiden univ	000324564100007	4	0	0	2
tu delft	000342619000016	16	1	0	0
tu delft	000393733300033	2	2	0	0
leiden univ	000312996500483	6	0	0	3
leiden univ	000275752400076	5	0	0	4
leiden univ	000409195200024	1	0	0	1
leiden univ	000326625400020	4	0	0	0
tu delft	000323589400007	3	3	0	0
leiden univ	000361596800002	3	0	0	3
leiden univ	000276778900009	3	0	0	2
leiden univ	000281021100031	2	0	0	2
leiden univ	000307267300016	11	0	0	1
leiden univ	000264746900001	2	0	0	2
leiden univ	000394807500001	17	0	0	0
tu delft	000363204000004	4	1	0	0
leiden univ	000329093200018	6	0	0	1
leiden univ	000284148900110	11	0	0	1
leiden univ	000328937100017	4	0	0	2
tu delft	000306354700010	6	4	0	0
leiden univ	000303491400030	19	0	0	2
leiden univ	000343350400003	6	0	0	6
leiden univ	000378068500001	2	0	0	2
leiden univ	000266941800012	4	0	0	3
leiden univ	000300700000006	4	4	0	0
tu delft	000388829600036	8	1	0	0
tu delft	000297949500006	4	3	0	0
leiden univ	000274064500043	2	0	0	2
tu delft	000288102700116	7	6	0	0
leiden univ	000352158500020	7	0	0	7
leiden univ	000351278900016	8	0	0	8
lumc	000308774100006	4	0	0	1
tu delft	000403037000002	2	1	0	0
lumc	000208885008153	12	0	0	11
leiden univ	000293340800465	7	0	0	3
tu delft	000208848600003	1	1	0	0
leiden univ	000325426900001	65	0	0	2
leiden univ	000281013200001	1	0	0	1
leiden univ	000289662203517	14	0	0	4
leiden univ	000315751700001	2	0	0	0
tu delft	000257301602049	6	1	0	0
tu delft	000371078100010	6	3	0	0
leiden univ	000383610400639	15	0	0	5
tu delft	000257171000013	6	5	0	0
leiden univ	000371948100125	5	0	0	0
tu delft	000393662800001	3	3	0	0
leiden univ	000253156100048	7	0	0	1
leiden univ	000366402400043	43	0	0	3
leiden univ	000290196200016	2	0	0	2
leiden univ	000340723700030	5	0	0	2
tu delft	000314096900007	3	1	0	0
leiden univ	000318009802395	19	0	0	1
tu delft	000308388000008	10	1	0	0
lumc	000308827800032	5	0	0	1
leiden univ	000306278400005	6	0	0	6
leiden univ	000370860202326	5	0	0	2
leiden univ	000366534600204	1	0	0	1
leiden univ	000312257100001	16	0	0	2
lumc	000308897200076	6	0	0	6
leiden univ	000256053400141	3	0	0	3
tu delft	000290626300001	3	1	0	0
leiden univ	000378669700019	10	0	0	2
tu delft	000359865200010	3	3	0	0
leiden univ	000294000100006	7	0	0	3
leiden univ	000337000401108	2	0	0	2
tu delft	000315176200002	5	1	0	0
tu delft	000297063900005	6	3	0	0
leiden univ	000333046500009	14	0	0	2
leiden univ	000375860400014	31	0	0	1
leiden univ	000383869501413	5	0	0	5
leiden univ	000318345200069	3	0	0	1
tu delft	000406678000004	2	2	0	0
tu delft	000349269200004	2	1	0	0
leiden univ	000343932100018	7	0	0	6
leiden univ	000340585800014	5	0	0	2
leiden univ	000338033304115	5	0	0	5
leiden univ	000404196400021	3	0	0	2
tu delft	000270851300007	3	1	0	0
tu delft	000274281200012	3	1	0	0
leiden univ	000387058800019	12	0	0	8
tu delft	000408597300073	5	5	0	0
leiden univ	000374983200013	6	0	0	1
tu delft	000357354400001	5	4	0	0
leiden univ	000291866300020	9	0	0	1
leiden univ	000260498700046	4	0	0	0
leiden univ	000271727500040	7	0	0	6
leiden univ	000306872500018	1	0	0	1
leiden univ	000344622400007	3	0	0	3
leiden univ	000325359203512	6	0	0	1
leiden univ	000304600900001	8	0	0	3
lumc	000291937100001	5	0	0	0
tu delft	000274197100007	5	3	0	0
leiden univ	000368375402372	25	0	0	1
tu delft	000360960500006	3	3	0	0
leiden univ	000418057400004	20	0	0	2
tu delft	000337051000001	2	0	0	0
leiden univ	000348407700015	15	0	0	10
leiden univ	000316074300148	3	1	0	2
leiden univ	000257542800012	6	0	0	2
leiden univ	000208691800024	6	0	0	2
leiden univ	000284150900002	26	0	0	5
leiden univ	000287006400033	8	0	0	6
leiden univ	000266071700008	7	0	0	7
leiden univ	000375142200462	4	1	0	3
tu delft	000341564200015	3	3	0	0
tu delft	000367631800002	2	1	0	0
leiden univ	000277959500023	8	0	0	0
tu delft	000290440500007	2	1	0	0
leiden univ	000334969100004	1	0	0	1
leiden univ	000208457402698	7	0	0	1
leiden univ	000355337800024	26	0	0	1
leiden univ	000349609600023	41	0	0	3
leiden univ	000389011900016	341	1	0	6
leiden univ	000272693400007	2	0	0	2
tu delft	000359171200002	2	1	0	0
tu delft	000355255700004	5	5	0	0
leiden univ	000280013000009	11	0	0	9
leiden univ	000310359400002	1	0	0	1
leiden univ	000398033800009	6	0	0	1
tu delft	000363766600041	4	4	0	0
leiden univ	000393647600016	33	0	0	0
leiden univ	000378384100002	6	0	0	1
tu delft	000294444800001	4	3	0	0
leiden univ	000423424500010	1	0	0	1
leiden univ	000302301800014	10	0	0	2
leiden univ	000392425200031	6	0	0	6
tu delft	000272830700072	7	2	0	0
tu delft	000343016500014	7	4	0	0
leiden univ	000265466000016	8	0	0	2
tu delft	000379003700037	3	1	0	0
tu delft	000388354800001	7	4	0	0
tu delft	000254367300004	2	2	0	0
leiden univ	000256525000006	2	0	0	2
lumc	000309754300163	9	0	1	0
tu delft	000398172400001	5	5	0	0
leiden univ	000292422500004	1	0	0	1
leiden univ	000291695100666	11	0	0	11
leiden univ	000331587901313	19	0	0	1
tu delft	000306925100001	6	1	0	0
leiden univ	000290965100001	3	0	0	3
leiden univ	000265173100009	8	0	0	5
tu delft	000368413600016	3	2	0	0
leiden univ	000351243900020	6	0	0	1
leiden univ	000303380600001	1	0	0	1
leiden univ	000303001900015	7	0	0	2
leiden univ	000322403800006	4	0	0	3
leiden univ	000403081900105	7	0	0	7
leiden univ	000254315800017	7	0	0	4
leiden univ	000359342300066	10	0	0	1
tu delft	000408371500003	3	1	0	0
tu delft	000278836900007	2	1	0	0
tu delft	000319330200131	3	3	0	0
leiden univ	000281882800030	3	0	1	2
leiden univ	000279559500771	7	0	0	3
leiden univ	000359425000011	12	0	0	1
tu delft	000351467700003	2	2	0	0
lumc	000257904300015	5	1	0	1
leiden univ	000300619800005	10	0	0	4
tu delft	000287338400009	5	1	0	0
leiden univ	000255100100002	3	0	0	1
leiden univ	000379269900003	2	1	0	1
tu delft	000416216200001	5	1	0	0
leiden univ	000362320200027	8	0	0	7
leiden univ	000297453200006	4	0	0	3
leiden univ	000266587800046	11	0	0	6
leiden univ	000275385400004	3	0	0	1
leiden univ	000373885200001	18	0	0	1
leiden univ	000359618700019	6	0	0	1
tu delft	000256706200124	2	2	0	0
tu delft	000264892100006	4	2	0	0
tu delft	000273151000001	2	1	0	0
leiden univ	000263221100002	6	0	0	3
tu delft	000314010300004	2	2	0	0
leiden univ	000262057200016	9	0	0	8
leiden univ	000386056400024	9	0	0	2
tu delft	000379977100008	4	3	0	0
leiden univ	000328688600009	6	0	0	3
leiden univ	000388127400001	8	0	0	6
leiden univ	000318178600001	7	0	0	1
tu delft	000267852400158	8	2	0	0
tu delft	000403376600006	4	0	0	0
leiden univ	000301577600001	16	0	0	3
tu delft	000314475200002	2	1	0	0
tu delft	000279274800002	7	5	0	0
tu delft	000284945800001	5	1	0	0
tu delft	000280323200004	2	2	0	0
tu delft	000329005000023	3	2	0	0
tu delft	000290571400025	5	1	0	0
leiden univ	000257623400002	9	0	0	7
leiden univ	000281527200069	15	0	0	2
leiden univ	000359324300365	11	0	0	1
tu delft	000397013700062	3	3	0	0
leiden univ	000322911600006	5	0	0	0
leiden univ	000310922200062	3	0	0	1
leiden univ	000272739800015	6	0	0	5
tu delft	000283891100001	2	1	0	0
leiden univ	000301709900014	10	0	0	6
tu delft	000373117300020	4	2	0	0
leiden univ	000207957101644	8	0	0	6
tu delft	000257169700042	3	2	0	0
leiden univ	000341821200017	15	0	0	1
leiden univ	000274653900020	7	0	0	1
tu delft	000388602200019	6	2	0	0
leiden univ	000331380900013	1	0	0	1
tu delft	000386534800016	2	2	0	0
leiden univ	000368000400069	5	0	0	1
tu delft	000406700200106	5	2	0	0
leiden univ	000307112300010	3	0	0	2
tu delft	000323516200018	8	1	0	0
leiden univ	000296147600046	16	0	0	9
tu delft	000392400400008	9	1	0	0
tu delft	000343226600010	5	3	0	0
leiden univ	000330550100136	3	0	0	2
leiden univ	000360980100015	4	0	0	1
leiden univ	000404043300016	6	0	0	6
leiden univ	000317681800014	6	0	0	1
leiden univ	000278403600002	1	0	0	1
tu delft	000341466400008	6	5	0	1
leiden univ	000276274900011	5	0	0	4
leiden univ	000334818100001	2	0	0	1
leiden univ	000356426905456	9	0	0	3
lumc	000274337300123	5	0	0	5
leiden univ	000327430400021	7	0	0	3
leiden univ	000305886900011	43	0	0	7
leiden univ	000370661100012	26	0	0	4
tu delft	000306279100022	3	1	0	0
leiden univ	000335419602664	9	0	0	8
tu delft	000381544900030	3	3	0	0
leiden univ	000332035800227	19	0	0	1
leiden univ	000312620800003	1	0	0	0
leiden univ	000414134100057	16	0	0	1
leiden univ	000208880301053	13	0	0	1
tu delft	000329269000007	4	4	0	0
leiden univ	000360854200050	10	0	0	2
leiden univ	000398421100082	21	0	0	1
leiden univ	000207650100013	4	0	0	1
leiden univ	000326037400018	4	0	0	4
leiden univ	000295879600013	8	0	0	8
leiden univ	000396606301266	5	0	0	1
leiden univ	000341850500010	6	0	0	1
tu delft	000264654900003	4	1	0	0
leiden univ	000318343600019	21	0	0	2
leiden univ	000331544200003	5	0	0	5
leiden univ	000390723400041	4	0	0	4
tu delft	000341086500004	2	1	0	0
tu delft	000417322000003	2	2	0	0
tu delft	000317809300016	2	1	0	0
leiden univ	000361535200022	5	0	0	4
leiden univ	000417682700009	14	0	0	1
leiden univ	000360528600001	1	0	0	1
leiden univ	000326060900060	6	0	0	6
leiden univ	000324925900012	5	0	0	1
leiden univ	000310373100002	15	0	0	1
tu delft	000270910700003	5	1	0	0
leiden univ	000339974700002	4	0	0	1
leiden univ	000331338700028	8	0	0	8
tu delft	000267599600128	8	5	0	0
leiden univ	000390231400010	17	0	0	3
leiden univ	000300862300058	6	0	0	2
leiden univ	000359057200001	21	0	0	6
leiden univ	000424355301166	6	0	0	0
leiden univ	000270002000022	8	0	0	2
tu delft	000308963300006	3	2	0	0
leiden univ	000301229200030	9	0	1	3
tu delft	000300863100009	2	2	0	0
tu delft	000360825000013	8	3	0	0
leiden univ	000304812400003	2	0	0	2
leiden univ	000323653400020	8	0	0	6
tu delft	000320081300008	3	1	0	0
tu delft	000357439900002	5	3	0	0
leiden univ	000350105900024	10	0	0	9
tu delft	000296666100001	1	1	0	0
tu delft	000354507500007	3	1	0	0
lumc	000419013000006	8	0	0	6
leiden univ	000279009900057	2	0	0	2
leiden univ	000282477500017	4	0	0	4
leiden univ	000264361800014	11	0	0	9
tu delft	000374972500011	3	2	0	0
tu delft	000331421800063	4	3	0	0
leiden univ	000380752600012	6	0	0	1
leiden univ	000355017200011	5	0	0	1
leiden univ	000358594300028	11	0	0	3
leiden univ	000365466000009	11	0	0	3
leiden univ	000360641900001	6	0	0	3
leiden univ	000413505900001	4	0	0	1
tu delft	000381233700026	4	3	0	0
leiden univ	000321821900003	2	0	0	2
leiden univ	000344112500001	11	0	0	2
tu delft	000280199500004	1	1	0	0
leiden univ	000279304700061	6	0	0	2
tu delft	000319680800010	3	3	0	0
leiden univ	000208863800014	4	0	0	4
lumc	000341134000459	9	0	0	2
leiden univ	000339824300013	10	0	0	7
leiden univ	000280462300002	2	0	0	1
leiden univ	000370069900008	7	0	0	0
lumc	000278998800338	1	0	0	1
tu delft	000327903900032	10	6	0	0
leiden univ	000367056100001	6	0	0	0
leiden univ	000321403100034	1	0	0	0
leiden univ	000355053600014	3	0	0	3
leiden univ	000335998500009	3	0	0	2
leiden univ	000326470800007	3	0	0	2
tu delft	000324253700003	4	3	0	0
tu delft	000339377300008	4	1	0	0
leiden univ	000330631900007	2	0	0	2
leiden univ	000308690600057	2	0	0	1
tu delft	000291149300003	5	4	0	0
leiden univ	000376107800019	22	0	0	2
leiden univ	000331420400016	4	0	0	4
tu delft	000331342800019	5	4	0	0
tu delft	000253165400008	3	2	0	0
leiden univ	000302619400009	3	0	0	3
leiden univ	000399707100018	4	0	0	0
tu delft	000308279900016	3	2	0	0
leiden univ	000208056200004	3	0	0	1
tu delft	000394395800010	16	2	0	0
leiden univ	000281531901529	6	0	0	5
lumc	000258841700010	8	0	0	1
tu delft	000332500100018	6	3	0	0
tu delft	000260183500008	3	1	0	0
tu delft	000402656200002	10	2	0	0
tu delft	000319350700002	2	1	0	0
tu delft	000379040200016	3	3	0	0
tu delft	000407185500012	6	0	0	0
leiden univ	000373382100038	16	0	0	1
tu delft	000255716100162	3	2	0	0
tu delft	000403070500001	9	0	0	0
leiden univ	000358157600155	9	0	0	1
leiden univ	000208539000001	1	0	0	1
tu delft	000260246700033	7	3	0	0
leiden univ	000330780600014	8	0	0	4
leiden univ	000280366000008	9	0	0	1
leiden univ	000328754500111	7	0	0	2
lumc	000319498201403	4	0	1	2
leiden univ	000281354500001	3	0	0	1
tu delft	000351841400012	9	6	0	0
leiden univ	000413181402362	8	0	0	3
leiden univ	000260872000001	7	0	0	1
leiden univ	000365412500028	7	0	0	1
leiden univ	000308213600017	7	0	0	2
leiden univ	000257691100002	13	0	0	1
leiden univ	000304190900003	2	0	0	2
leiden univ	000325373700051	13	0	0	3
tu delft	000316237700039	4	2	0	0
leiden univ	000397373700007	2	0	0	2
leiden univ	000366220200006	6	0	0	3
tu delft	000318490500008	4	4	0	0
tu delft	000303242700007	5	1	0	4
leiden univ	000371492200003	7	0	0	2
leiden univ	000330978500286	19	0	1	8
tu delft	000407982800019	7	2	0	0
tu delft	000413757500047	5	1	0	0
leiden univ	000393499000017	1	0	0	1
tu delft	000353735800019	8	2	0	0
leiden univ	000297594700002	3	0	0	2
leiden univ	000383869506009	12	0	0	1
tu delft	000305851700048	9	5	0	0
leiden univ	000393653500023	8	0	0	8
leiden univ	000388199100004	53	0	0	3
tu delft	000363888400011	5	1	0	0
leiden univ	000208885009045	8	0	0	1
leiden univ	000408407200044	7	0	0	1
leiden univ	000310232500030	3	0	0	2
tu delft	000254126600013	2	2	0	0
tu delft	000319755600014	5	1	0	0
tu delft	000327299800018	4	1	0	0
leiden univ	000300614100101	10	0	0	1
leiden univ	000290496400021	6	0	0	4
leiden univ	000295955900363	7	0	0	3
tu delft	000346765000048	9	0	0	0
tu delft	000274936700014	6	5	0	0
tu delft	000334504700013	3	3	0	0
leiden univ	000331045000001	1	0	0	1
tu delft	000258868400024	2	1	0	0
leiden univ	000306445400005	3	0	0	0
lumc	000318668000007	6	0	0	3
leiden univ	000218546100006	3	0	0	0
tu delft	000364405300057	4	4	0	0
tu delft	000257617900007	3	1	0	0
tu delft	000350947600001	5	1	0	0
leiden univ	000401113400012	12	0	0	3
leiden univ	000279169200003	1	0	0	1
tu delft	000297106600015	1	1	0	0
leiden univ	000365072200020	22	0	0	6
tu delft	000331917900002	4	4	0	0
leiden univ	000350515100003	11	0	0	1
leiden univ	000415775100001	4	0	0	1
leiden univ	000346089400036	12	0	0	1
tu delft	000394376400041	2	1	0	0
tu delft	000281896000005	2	0	0	0
leiden univ	000257919000431	10	0	0	10
leiden univ	000392201601263	17	0	0	3
leiden univ	000292809700008	6	0	0	1
leiden univ	000359664700016	10	0	0	1
tu delft	000298591400002	3	1	0	0
leiden univ	000270329900095	8	0	0	1
leiden univ	000279934700002	5	0	0	4
leiden univ	000292436500013	22	0	0	2
leiden univ	000400127500004	16	0	0	1
leiden univ	000209816100602	7	0	0	7
tu delft	000292916800016	5	2	0	0
leiden univ	000266501100062	6	0	0	1
lumc	000308343200024	6	0	0	6
leiden univ	000381700100001	8	0	0	1
leiden univ	000384091500001	4	0	0	2
leiden univ	000358082000009	6	0	0	1
leiden univ	000345542600012	8	0	0	7
leiden univ	000382164800006	2	0	0	2
leiden univ	000307305600007	1	0	0	1
leiden univ	000319737000014	10	0	0	1
leiden univ	000344235000007	5	0	0	3
tu delft	000377104900014	5	1	0	0
leiden univ	000319832300022	4	0	0	1
leiden univ	000306558100004	13	0	0	11
tu delft	000350546200007	6	1	0	0
leiden univ	000383024600005	5	0	0	3
tu delft	000359171200003	4	1	0	0
leiden univ	000301664700002	4	0	0	4
tu delft	000299461500017	4	4	0	0
leiden univ	000296581100041	3	0	0	3
tu delft	000373123300009	6	0	0	0
tu delft	000267699200068	4	2	0	0
tu delft	000357804800023	7	2	0	0
leiden univ	000341435800009	6	0	0	1
leiden univ	000289484900006	4	0	0	4
leiden univ	000300252600002	9	0	0	6
leiden univ	000378061300002	3	0	0	1
leiden univ	000331198200004	16	0	0	1
