univ	ut	au	tu_au	lumc_au	leiden_au
leiden univ	000306278900022	1	0	0	1
leiden univ	000307221100035	5	0	0	1
lumc	000323162800006	8	0	0	8
tu delft	000276630300033	6	1	0	0
leiden univ	000266244000024	4	0	0	1
leiden univ	000335905300062	4	0	0	3
leiden univ	000279529900011	5	0	0	4
leiden univ	000208992800041	6	0	0	2
leiden univ	000260534200026	1	0	0	1
leiden univ	000260009100012	15	0	0	10
leiden univ	000292264000021	20	0	0	2
leiden univ	000275534100006	4	0	0	4
tu delft	000351987300166	6	1	0	0
leiden univ	000314444400083	8	0	0	3
leiden univ	000275587200023	3	0	0	3
leiden univ	000259873600030	19	0	1	0
tu delft	000289843500001	4	1	0	0
leiden univ	000393992300011	7	0	0	7
leiden univ	000270484600070	8	0	0	8
tu delft	000272605300015	7	4	0	0
tu delft	000293518300037	10	2	0	0
tu delft	000265744400008	2	1	0	0
leiden univ	000356426901348	7	0	0	4
leiden univ	000370269200014	3	1	0	1
leiden univ	000279272200016	11	0	0	1
leiden univ	000350189600008	17	0	0	2
leiden univ	000325359206313	11	0	0	7
tu delft	000303187300004	4	4	0	0
lumc	000319522500465	10	0	0	1
lumc	000331587904062	11	0	0	6
leiden univ	000364970800001	12	0	0	4
leiden univ	000411324004035	8	0	0	1
leiden univ	000315383300008	5	0	0	1
leiden univ	000264362400135	16	0	1	2
leiden univ	000209644900043	10	0	0	1
leiden univ	000383301900014	3	0	0	3
leiden univ	000375799000062	19	0	0	1
tu delft	000292125700002	2	2	0	0
leiden univ	000254736500114	6	0	0	3
tu delft	000208786300005	1	1	0	0
tu delft	000267802200013	5	1	0	0
leiden univ	000264327300030	8	0	0	1
leiden univ	000281989401394	6	0	0	1
leiden univ	000253941600007	8	0	0	5
leiden univ	000316116300008	8	0	0	5
tu delft	000270100100024	1	0	0	0
leiden univ	000351388200009	10	0	0	1
leiden univ	000258302600005	1	0	0	1
leiden univ	000270312500926	5	0	0	2
tu delft	000294071600001	2	2	0	0
leiden univ	000280137200004	5	0	0	1
leiden univ	000369289300005	15	0	0	1
tu delft	000259863400020	6	1	0	0
leiden univ	000323407700017	14	0	0	13
leiden univ	000395436100003	2	0	0	1
leiden univ	000266917100004	23	0	0	1
tu delft	000266997200021	4	1	0	0
leiden univ	000327924600148	6	0	0	3
leiden univ	000318785700004	3	0	0	1
tu delft	000295566200005	5	5	0	0
leiden univ	000357426700004	17	0	0	4
leiden univ	000365534100006	7	0	0	2
leiden univ	000258893200010	2	0	0	1
lumc	000413181402325	13	0	0	10
tu delft	000390735900015	4	3	0	0
leiden univ	000320770100009	7	0	0	7
leiden univ	000356039000002	6	0	0	2
tu delft	000266704300001	3	1	0	0
leiden univ	000363649000072	4	0	0	3
leiden univ	000385957400017	9	0	0	9
tu delft	000258218600002	2	2	0	0
leiden univ	000406275400022	4	0	0	4
leiden univ	000345276400022	11	0	0	4
leiden univ	000313403500033	2	0	0	1
leiden univ	000312134200001	2	0	0	1
tu delft	000325837700005	1	1	0	0
leiden univ	000323734900002	3	0	0	3
leiden univ	000384818800394	19	0	0	2
leiden univ	000322585400005	7	0	1	1
leiden univ	000279860300018	18	0	0	1
leiden univ	000286284500019	8	0	0	8
leiden univ	000274084400005	302	0	0	4
leiden univ	000340282600018	11	0	0	3
tu delft	000385836000032	5	4	0	0
leiden univ	000337644300003	10	0	0	10
leiden univ	000320090800002	8	0	0	1
leiden univ	000359030700002	24	0	0	2
leiden univ	000326843601286	8	0	0	2
leiden univ	000300528400035	10	0	0	8
tu delft	000400665200088	3	2	0	0
leiden univ	000349960600248	6	0	0	3
tu delft	000301198000009	8	3	0	0
leiden univ	000398600404142	6	0	0	1
leiden univ	000307160600019	4	0	0	1
leiden univ	000390872800006	1	0	0	1
leiden univ	000208992803162	6	0	0	6
tu delft	000362891105195	6	2	0	0
leiden univ	000272247300020	12	0	0	2
leiden univ	000344384901087	5	0	0	1
leiden univ	000299293500039	7	0	0	4
