10038459	8014871
19311742	23254357
35386223	16010940
30802149	28482485
29132348	6557623
30891085	7847213
14827273	8014871
20915160	7513974
34982892	12100688
12100688	48726014
10038459	23121689
30891085	29132348
27770935	48066140
30891085	46044303
46268944	31484037
19882354	25706166
12100688	7598474
45300596	43848023
8014871	28482485
31484037	35386223
45300596	43353706
19311742	47814375
20915160	6557623
33642640	19122405
27770935	19122405
34074374	33642640
34982892	7847213
51085575	16010940
14485170	43383961
46044303	12100688
25588388	43383961
35386223	46268944
33642640	48066140
17835781	1296328
17709220	31484037
8014871	43848023
23254357	47814375
46602081	25706166
8014871	12100688
8014871	9756125
33326481	17835781
43383961	25588388
10038459	45300596
47814375	8014871
19122405	16010940
7513974	7847213
46268944	19122405
48066140	6557623
36230764	6194746
42103349	19195734
2479649	46602081
46790804	12100688
46602081	48066140
19195734	42103349
43383961	25706166
51085575	43204348
48066140	20915160
36230764	8014871
44904659	46602081
43353706	12100688
46790804	7598474
17709220	51085575
43204348	51085575
43353706	43848023
51085575	46268944
31484037	51085575
25706166	19882354
8014871	43353706
42103349	1296328
6194746	47814375
6194746	23254357
12100688	7847213
34348001	10591688
46602081	44904659
43383961	14485170
36230764	19311742
19122405	51085575
1296328	17835781
30891085	12100688
7847213	17687800
46268944	51085575
25706166	30891085
34982892	33642640
25706166	2479649
20478332	43353706
19122405	46268944
14485170	25706166
47814375	43581697
33642640	31484037
36230764	10365531
7847213	12100688
19882354	14485170
46790804	48726014
31484037	19122405
7598474	25706166
12100688	46044303
7513974	33642640
48726014	46790804
25706166	46602081
10365531	23254357
25706166	34982892
19195734	43204348
46268944	43204348
33642640	43383961
10365531	47814375
16010940	35386223
33642640	51085575
7847213	33642640
31029316	43848023
43848023	31029316
34982892	27770935
28482485	30802149
16010940	19122405
43581697	36230764
46602081	12100688
20915160	12100688
7598474	12100688
19122405	12100688
12100688	33642640
7513974	20915160
46602081	7598474
19311742	10365531
29132348	43383961
31484037	7847213
43353706	10591688
25706166	7598474
12100688	23254357
30891085	46602081
7847213	17709220
1010450	12100688
43581697	6194746
27770935	30891085
