Source;Target;Weight
3584327;5790895;2
3994091;5790895;1
6650642;5790895;5
7962624;5790895;1
7988230;5790895;1
8501511;5790895;3
12206522;5790895;1
12392841;5790895;1
14224665;5790895;3
16549686;5790895;3
17175279;5790895;1
31228324;5790895;1
42312977;5790895;2
46679598;5790895;2
21931745;5813278;1
34212481;5813278;1
41256366;5813278;1
6229125;5873159;1
9742813;5873159;1
12387729;5873159;1
13712718;5873159;2
18912812;5873159;3
18939139;5873159;1
25190963;5873159;1
29663785;5873159;1
31677791;5873159;1
33831327;5873159;1
33850754;5873159;1
40039147;5873159;1
43499954;5873159;1
45368309;5873159;2
16053353;5927504;1
25064143;6049052;1
27151564;6049052;1
28530631;6049052;1
37119595;6049052;1
5873159;6229125;1
12387729;6229125;1
18912812;6229125;1
979453;6238047;1
17187372;6251603;2
42789143;6251603;2
1208448;6278922;1
10748214;6278922;1
17461436;6278922;1
12134494;6279724;1
41626580;6279724;1
48503842;6279724;1
13948009;6318608;3
37953533;6318608;1
44041213;6318608;1
49133664;6318608;4
8395578;6570943;1
25461080;6570943;1
745911;6647301;1
7414049;6647301;2
7962624;6647301;1
12169030;6647301;10
19687022;6647301;1
21325318;6647301;1
22368353;6647301;2
25369911;6647301;4
31536734;6647301;1
40163845;6647301;1
41960278;6647301;1
45534835;6647301;1
47288421;6647301;1
48769772;6647301;1
5790895;6650642;5
8501511;6650642;2
11960795;6650642;1
14224665;6650642;3
16549686;6650642;2
28282349;6650642;1
33283559;6650642;1
43691420;6702353;1
13712718;6796252;1
33831327;6796252;1
41934726;6796252;1
8636593;7088909;1
24635618;7088909;1
27954310;7088909;1
44006947;7088909;1
47140790;7088909;1
50182069;7088909;1
15437399;7125539;1
22076760;7125539;1
27768175;7125539;1
40994916;7125539;1
31043749;7134753;2
33117407;7171020;1
33643764;7171020;1
6647301;7414049;2
12169030;7414049;3
12188642;7418349;1
42654418;7418349;1
33569008;7442245;1
12075101;7484308;1
45163186;7484308;1
12392841;7497322;1
21109273;7497322;1
1208451;7603397;1
8245170;7603397;1
14950949;7603397;1
19036643;7603397;1
23974587;7603397;2
26279015;7603397;1
31611296;7603397;1
31838662;7603397;1
33873897;7603397;1
34827032;7603397;1
48275564;7603397;1
49667549;7603397;1
15652642;7663064;2
29164206;7663064;1
29345127;7663064;3
30109504;7663064;1
36872315;7663064;4
45330876;7663064;1
48900855;7663064;1
49709315;7663064;1
2470056;7680342;1
15834648;7680342;1
17963203;7680342;1
45514854;7680342;1
8020210;7724765;1
13063429;7724765;2
16984616;7724765;2
21258208;7724765;3
27387381;7724765;2
40036864;7724765;1
41655772;7724765;1
45302072;7724765;1
1964069;7760069;1
8395578;7761029;1
18073567;7761029;1
951817;7962624;1
2530462;7962624;1
2543775;7962624;3
3994091;7962624;1
5790895;7962624;1
6647301;7962624;1
7988230;7962624;1
8501511;7962624;1
9246399;7962624;1
12169030;7962624;2
12392841;7962624;1
14589606;7962624;1
16549686;7962624;2
19687022;7962624;1
19931735;7962624;1
25190963;7962624;2
25677421;7962624;1
27530617;7962624;2
32959304;7962624;1
37078617;7962624;1
41037668;7962624;1
42312977;7962624;2
43453305;7962624;2
45205245;7962624;1
50028606;7962624;4
3994091;7988230;1
5790895;7988230;1
7962624;7988230;1
5026398;7990466;1
13712718;7990466;1
23606719;7990466;1
39131385;7990466;1
41201274;7990466;2
7724765;8020210;1
21258208;8020210;1
15902932;8034261;1
25821331;8034261;1
45323422;8034261;1
46194648;8042154;1
12690023;8067545;1
20377987;8067545;2
21935683;8067545;1
1668513;8068591;1
25825202;8068591;1
43912302;8068591;1
45323422;8068591;1
18133422;8173047;1
26013810;8173047;1
36717946;8173047;1
13712718;8216129;1
15375480;8216129;1
33449014;8216129;1
34404007;8216129;1
1208451;8245170;1
7603397;8245170;1
14412641;8296843;6
17679050;8296843;1
29182324;8296843;1
29917928;8296843;1
38724724;8296843;1
45889592;8296843;1
20194669;8341455;1
32594078;8341455;1
8402755;8356001;1
27810395;8356001;1
32762861;8356001;1
35283296;8356001;1
43081854;8356001;1
42124777;8372863;1
4161431;8395578;1
4927747;8395578;1
6570943;8395578;1
7761029;8395578;1
14750093;8395578;1
15396766;8395578;1
16100258;8395578;6
18073567;8395578;1
19936635;8395578;3
21218086;8395578;5
25461080;8395578;1
25621874;8395578;1
25714153;8395578;1
51556910;8395578;2
8356001;8402755;1
