Source;Target;Weight
50110605;963273;1
50765974;963273;5
8816088;964936;1
25283580;964936;1
25501410;964936;1
42558525;964936;1
5790897;967417;1
6268583;967417;2
6610967;967417;2
8186402;967417;1
19396279;967417;1
25098979;967417;1
25978208;967417;1
26914984;967417;1
37764614;967417;2
44762013;967417;2
5145495;979113;1
5396941;988707;1
23504792;988707;2
25191865;988707;1
29227771;988707;1
33684937;988707;1
48237625;988707;1
3779045;1010531;1
4046583;1010531;4
4292271;1010531;1
6604442;1010531;1
6731495;1010531;1
6833854;1010531;1
7500361;1010531;1
7971438;1010531;1
9599188;1010531;1
10118975;1010531;1
10328525;1010531;1
12218554;1010531;12
12576056;1010531;1
12862973;1010531;1
15441012;1010531;1
17617877;1010531;1
17949669;1010531;2
18014846;1010531;1
21189048;1010531;1
21251114;1010531;2
23286958;1010531;1
25324304;1010531;1
25546397;1010531;3
25561184;1010531;1
26201701;1010531;1
27321489;1010531;3
28613331;1010531;1
31573074;1010531;2
36709376;1010531;1
39395669;1010531;1
42202089;1010531;1
43925227;1010531;1
44361395;1010531;1
46105605;1010531;1
46729746;1010531;1
47421612;1010531;1
48992437;1010531;2
49599832;1010531;1
1594422;1018193;5
16037079;1018193;1
32862416;1018193;5
34261795;1018193;5
36329204;1018193;1
45996521;1018193;1
34490508;1034786;2
45893238;1034786;3
4348068;1179340;1
10173088;1179340;2
18881849;1179340;1
18882601;1179340;1
18884654;1179340;1
18884668;1179340;1
18885511;1179340;1
18886845;1179340;1
21469677;1179340;2
22250946;1179340;1
22966027;1179340;7
25872301;1179340;1
27329858;1179340;5
29407213;1179340;5
30124056;1179340;2
35907381;1179340;1
36719800;1179340;6
37193958;1179340;1
44425224;1179340;1
44741323;1179340;1
45860120;1179340;5
46016407;1179340;4
48078479;1179340;2
8112709;1202113;2
26371559;1202113;2
30532400;1202113;2
47716274;1202113;2
2081803;1226918;1
6226924;1226918;1
6610967;1226918;1
21831766;1226918;1
37764614;1226918;1
41165826;1226918;1
3789885;1230326;1
16463379;1230326;1
19100458;1230326;2
21192475;1230326;2
22427217;1230326;1
31184927;1230326;1
44040252;1230326;1
39567254;1233121;1
2334600;1261729;1
3586587;1261729;3
5229945;1261729;2
8440600;1261729;1
19149693;1261729;1
19912905;1261729;1
22281969;1261729;2
22459643;1261729;2
24103201;1261729;2
28345203;1261729;1
28954952;1261729;2
29222799;1261729;3
31003856;1261729;1
34337288;1261729;2
34695451;1261729;1
35873924;1261729;1
38506293;1261729;1
50088835;1261729;2
1825735;1355043;1
7736103;1355043;3
9731557;1355043;1
10281868;1355043;1
14376689;1355043;1
16465084;1355043;1
22944453;1355043;1
38370951;1355043;1
41725772;1355043;2
25501410;1382996;1
43389764;1382996;1
3087074;1392589;1
963273;1399618;1
15441012;1410941;1
17617877;1410941;1
18011510;1410941;1
23286958;1410941;1
37269777;1410941;1
45173478;1410941;1
3378144;1425938;4
14565079;1425938;2
19898580;1425938;4
23786074;1425938;8
41996723;1425938;1
48925070;1425938;8
10281868;1464221;1
14376689;1464221;1
18002532;1464221;1
6073300;1482327;1
6892061;1482327;2
7101820;1482327;3
8590567;1482327;1
20419027;1482327;1
24194205;1482327;2
25579872;1482327;2
26158354;1482327;2
