Source;Target;Weight
16923440;31806966;2
6109235;24443167;2
9916824;10129136;1
17227940;17530402;1
8041511;43052522;1
23073401;33594433;1
10123112;48237625;1
18918547;13098791;1
1907936;32453471;2
13114085;44240913;1
24174383;40659325;1
45276614;49764647;1
37197757;19936939;1
7920783;14099854;1
20534285;967417;1
51119915;14088581;2
14458380;13114085;1
14431331;34195704;1
20332617;9503091;4
10627090;50282798;2
18729229;33575380;3
6345495;23215382;11
21942458;34365091;2
2349502;47444171;1
17530402;12605814;1
37991437;24454465;1
32454367;47376431;1
34742884;30184717;4
4175630;20621917;1
847553;32453471;2
32523949;40440323;1
24658462;30098681;8
6671607;19566764;1
32306021;48237625;1
27775751;13658735;2
38542640;45893238;3
41636012;29041296;1
8495275;1372652;1
2988744;51318865;1
37459221;27084307;2
37516034;45671652;2
47323028;40005550;1
10840645;48153442;1
8086393;23518007;4
2459397;24174383;5
32244366;20811717;1
15865233;46604332;1
5164832;38354070;5
44021684;15846200;1
5219245;37793392;4
32136422;777123;3
40920420;45063278;1
39873237;25279919;3
29420017;16790460;1
21823409;8902663;1
32266644;14088581;1
40005550;42741606;1
20158933;33787487;1
25348501;33253639;1
39707192;27033442;1
45840200;12305327;1
3354824;3202986;1
31492029;46058403;1
14435417;1214163;7
33379695;23093644;1
15276018;11724307;1
45279009;28346863;1
14858425;45205424;1
16958514;38281230;8
24450612;25742075;2
38916006;20907438;1
21370371;7761807;1
20811717;17234607;1
24596325;13568452;19
2545709;27959115;5
9180609;12326203;1
46398844;10251034;1
7901177;21449745;1
38294396;24690368;1
1464155;51348614;4
4758625;44241268;1
32485634;13098791;1
7150138;3975672;2
31036919;26437003;1
33594433;13175116;1
46243184;20332617;5
33572354;12572132;2
51348614;1005909;1
14806647;16790460;34
14431331;19396279;1
24478729;35194451;1
37780951;2686913;1
47238956;44021684;1
711969;36719395;1
3354824;46604332;1
26478372;692279;2
17227940;14806647;8
50263955;35259075;1
45279010;16790460;8
13365789;19195653;1
47870973;22804318;3
12750509;20767999;1
13226080;31106843;2
51135417;38050565;1
46799336;23094592;1
50117564;24702457;1
20534285;22494910;10
18007784;39744357;6
42843127;37513580;5
49523218;6345495;3
17227940;736031;1
13661721;46108639;1
2264662;16084460;1
3442759;25741426;1
29227771;34117990;1
11937513;44052008;1
22445926;45722108;1
8168854;26146816;1
43327516;46448081;2
21666887;39545072;1
23868851;38048642;1
17572111;27962323;1
7159538;36182117;1
43356157;27408986;12
51245047;46413602;1
37032968;42057362;1
36587333;46065677;2
39713828;45844597;1
6101316;39392958;1
46580721;39497189;2
47162742;14445486;2
19610686;21034797;1
28707341;14994284;4
33787487;3354824;1
6008975;23488223;1
43494851;14427515;1
7175657;34738296;1
26016329;28796279;1
12750509;50005888;1
21312875;47207948;6
30062946;4512419;8
3539920;7182219;2
32550491;25551232;1
40382204;17465463;5
43675374;40986540;2
32062564;27923718;1
5245977;16659571;3
7636781;5010673;1
21885093;50380223;1
40647193;45049767;2
16742524;42859818;1
34742877;7985249;2
4938505;33594433;2
7181714;33445088;2
8894759;18839591;1
48919081;40382204;2
31982691;3139183;3
39821947;20380035;2
25978208;37596090;1
28724479;26437003;1
46455355;31031030;1
36173814;14353825;1
25659773;47041338;1
36431466;45908246;1
12364229;33405184;1
35425351;18283869;2
1275304;3419496;1
1689535;8089289;1
24791908;37018704;7
5752015;50954518;1
28235761;27456748;1
5363362;49916704;2
41148176;16934131;1
22672511;38632185;1
22494910;38632185;2
7819122;4750960;1
26385723;40795632;3
12364229;36167522;1
17306534;21006217;1
39554882;13653479;1
34742877;35018483;2
19226397;30184717;1
12771297;25212843;1
50263955;6109235;1
26385723;34050469;1
3114399;9183499;1
28557707;40647193;2
20534285;46848282;9
44501206;24245023;1
26372582;27252312;1
18732333;44052008;1
26831589;10250919;3
16172529;26393367;1
45757088;40624339;4
20811717;19217694;2
37513580;17465463;1
47902185;28429614;1
28246132;16079101;1
25981013;13226080;79
30360634;40327698;1
48251554;26385723;3
27852984;18240709;1
28533069;15551588;1
50469036;9436715;1
28462552;25191865;1
42045139;35425351;1
29228000;39084618;3
1907936;46261623;4
35038263;30062946;2
34478711;17445565;1
19164304;5333942;11
26135502;20811717;3
31795980;25981013;2
2328114;35275647;1
19228636;17171740;2
46893177;41230571;5
22210723;31947116;1
47200907;9535302;1
20534285;10233859;1
33112891;38632185;1
7178671;43381322;1
6610967;21441163;7
1733431;16785271;1
21540298;20842666;1
49491288;46142111;3
48237625;276157;1
7879206;24058902;2
29289936;9183499;1
35056974;40005550;4
19521845;30107259;1
26651788;2981869;1
28078160;8343198;28
25283101;6731218;6
16235130;42529263;3
18681637;34265171;1
16433747;26825699;1
30532450;12429881;1
11558169;3139183;1
17554732;8901326;6
47491586;9799700;9
37701960;45008713;1
51222658;32309819;4
32203504;28986809;1
7088882;46207845;1
33229936;47200907;1
36587333;24245023;10
12812842;8901326;2
18198052;25516723;3
30994722;12371092;1
33785750;44638251;1
31285585;27456748;2
37919946;17541412;3
35262390;7863064;2
16923440;20332617;1
6184979;26135148;5
51245047;30107259;2
10887691;42778726;1
6345495;50097702;8
12817500;2763827;2
9283151;5014686;1
2706424;49019595;2
38992820;3619330;2
16656731;4773509;2
37659534;20787935;1
37756862;4545153;1
782887;5438998;1
4102595;33617937;1
13226080;16235247;1
29021415;29258989;1
1538158;37190251;1
21627177;1050773;2
16264619;49725411;1
47928099;26873746;3
42843127;24703153;1
24209816;33269801;1
36040576;32998448;1
47030477;31222487;1
25219991;43564199;1
12750509;27252312;1
13421933;25575912;2
26437003;50502706;1
46852940;49122839;1
49523218;30610105;1
22866080;24972789;1
36695950;16790460;52
3354824;7469846;3
46105607;30611508;1
8728703;33815397;1
36695950;48209134;4
17228945;20361379;1
34908174;27703465;1
33825558;30595700;1
30662787;49114237;1
16014702;42252901;1
3198278;27649379;1
21131548;24690368;1
14214276;27252312;24
31676112;44208137;1
13724257;37170282;1
26162107;6673901;1
19936939;2244620;1
41212659;18740687;1
16079101;9942059;1
46848282;6207910;4
37516034;36230517;1
14431331;3565481;2
37124699;4583474;3
49724834;35425351;2
33031760;2992981;1
20339579;34265171;10
35312034;16736065;1
4175630;27854432;1
13413973;45054721;2
41034027;27743452;1
33594433;7907932;1
20842666;18169484;3
24739157;40360519;8
32266644;23557536;1
16444513;31479063;3
47470066;31488856;1
27090544;19872681;1
24032803;16660496;1
20361379;9983479;1
34419731;36040576;20
12040806;39669401;10
13571018;36871407;2
3354824;25461999;4
49520793;4809373;1
7797285;50480032;1
3445125;32593855;6
30111193;30690697;1
19936939;18917752;1
4885976;24526035;2
24209816;24068222;1
44504418;211304;1
25846135;26345069;1
38630252;3748779;1
8951516;13452269;1
44208137;7431404;1
17369584;51504167;2
30412196;32516062;1
45526077;3163063;2
31824786;2357390;1
40130333;14588932;3
2545709;24478957;3
19164304;16014702;11
37513580;13145742;1
25437079;49100235;1
3693261;2197416;1
50209576;23822059;1
39712563;41149864;1
44565405;50808472;1
24615481;25665757;1
48561318;17595770;1
13161138;14635966;1
20217320;953953;5
34181101;21131548;6
36019369;16934131;5
17369584;33814000;1
16135508;29399539;2
42579377;22556117;1
5052498;8816569;1
23800665;20534285;5
36184843;17714075;1
7150138;25466858;13
38542640;12279252;1
31450399;6383498;1
38632185;6552234;1
27529200;49916704;1
7761807;38736691;2
51588654;18247575;1
2967044;32181407;6
12986270;17031404;2
6121371;33269801;7
40794487;27233947;1
14587016;49680578;1
6268583;22964146;1
44021684;12684484;1
41546472;34366479;1
9905893;38048642;1
4640202;47491586;1
33102170;10309378;2
16017949;43327516;14
48715667;39074022;1
4075782;5797978;1
3354824;34244529;3
14787776;2763827;1
26478372;30539968;1
32128358;42856015;4
26577294;48919081;5
37753084;880057;1
40779861;23371800;3
17889001;35312034;1
17448233;18533773;2
10904078;25551232;1
1643072;48772169;1
22683051;1733431;1
48028407;35663540;1
38281230;36466023;1
33594433;19467957;1
18522156;6109235;1
25382334;25706165;1
26465772;2545709;7
5365865;29921986;3
28148757;5355292;2
13907133;37478242;2
4799928;36210275;2
12436479;34181101;1
16235247;40864221;1
16433747;41024922;1
43802276;24690368;1
33594433;48582211;1
37516034;38674270;1
38450096;28111449;1
32332438;20842666;1
