Source;Target;Weight
16705028;703619;1
17461947;703619;1
31478892;703619;1
33800547;703619;1
28547660;713475;1
32599417;713475;1
41360433;713475;1
18291021;718234;1
4622579;752791;2
20742911;752791;2
28907776;752791;1
1571702;752821;1
6087230;752821;1
18740686;752821;7
21504413;752821;1
22779723;752821;1
24663545;752821;1
28588562;752821;1
35199104;752821;1
39503295;752821;1
45257160;752821;1
3743770;759402;2
6765240;759402;1
14884926;759402;2
15642184;759402;1
18999892;759402;1
19007125;759402;1
19106696;759402;2
22721609;759402;1
22727479;759402;1
38362368;759402;3
50071649;759402;2
51144003;759402;2
26690236;764831;1
29112941;764831;1
48015738;764831;1
7965926;780643;1
8863989;780643;1
22980105;780643;1
23939856;780643;1
31660200;780643;1
45138878;780643;3
6111285;789044;1
7553648;789044;1
10121684;789044;1
13674350;789044;1
24660626;789044;1
31375060;789044;1
41041437;789044;1
13112915;823759;12
14600871;823759;12
23976033;823759;1
31237542;823759;1
36030110;823759;1
875678;847690;5
31859012;847690;2
31228229;862895;1
31990531;862895;1
39988957;862895;1
46446767;862895;1
11594245;862974;1
29211362;868475;1
38022562;868475;1
8740070;874276;2
22630040;874276;1
36712015;874276;1
666927;875678;6
847690;875678;5
3588099;875678;1
9934006;875678;2
24633115;875678;1
31859012;875678;4
31859020;875678;2
33308512;875678;9
34229283;875678;2
44254131;875678;10
49879439;875678;1
49880365;875678;1
8009763;880295;1
11465750;880295;1
2240951;915064;1
6787474;915064;1
7097612;915064;2
14893743;915064;1
14941681;915064;1
42530077;915064;1
46946810;915064;1
50496063;915064;1
2797654;915127;1
16998791;915127;1
3154060;930478;1
8536609;930478;1
14696334;930478;2
38196634;930478;2
1920558;936777;1
4536650;936777;2
8014871;936777;2
8951050;936777;7
9354408;936777;3
9583144;936777;3
9793746;936777;7
10078112;936777;4
10087844;936777;10
15219091;936777;4
17070258;936777;4
18228225;936777;12
18693427;936777;4
21265394;936777;2
26530291;936777;1
27050716;936777;1
28726113;936777;1
30158317;936777;1
31675876;936777;1
32186527;936777;1
32958442;936777;7
34164256;936777;2
34294691;936777;1
35023815;936777;1
36380231;936777;1
39238969;936777;1
39905132;936777;5
40423276;936777;3
40430459;936777;5
41028506;936777;4
41653018;936777;1
42454195;936777;3
43669428;936777;5
44214176;936777;6
44968401;936777;11
45386161;936777;1
50376394;936777;1
3588099;951545;10
21936580;951545;4
37296093;951545;1
44403352;951545;3
7797448;960262;1
3327040;960263;1
15283582;960263;1
15615065;960263;1
27623022;960263;1
11972142;961156;1
13006876;961156;1
13020740;961156;5
18453728;961156;1
20395601;961156;2
22286535;961156;1
33428125;961156;1
38651384;961156;1
1364051;963027;2
7975221;963027;1
9659883;963027;1
13299312;963027;1
45138878;963027;1
4081205;963724;1
28007960;963724;1
50659912;963724;1
2197845;966005;1
4582660;966005;1
7965926;966005;3
8768669;966005;2
15217753;966005;1
18004240;966005;1
26529276;966005;1
26729505;966005;1
26907017;966005;3
29339901;966005;1
45138878;966005;2
49739894;966005;1
14718711;969535;1
26287660;969535;1
31121788;969535;2
38019649;969535;2
19224141;976222;1
19510444;976222;1
35363622;976222;1
35934788;976222;1
40314018;976222;1
1368738;980459;1
13110830;980459;1
21558751;980459;1
3752155;984330;1
13650011;984330;1
14893743;984330;1
14941681;984330;1
23590578;984330;1
23666483;984330;1
46986275;984330;1
552304;986514;2
7731377;986514;1
33149516;986514;2
37116319;986514;4
43230235;986514;4
50362462;986514;1
51507663;986514;1
9482996;992126;1
12691945;992126;1
35461633;992126;1
44525675;992126;1
2214581;1000065;1
12329070;1018509;1
16921349;1018509;1
50001380;1018509;1
12329070;1031331;1
24003683;1031331;2
24531375;1031331;3
25517369;1031331;2
1216282;1038258;1
1354469;1038258;1
7283170;1038258;1
51081475;1038258;1
4081205;1050950;2
4587269;1050950;1
7965926;1050950;2
13721864;1050950;1
27396678;1050950;1
39331732;1050950;1
2747674;1051796;1
6194746;1051796;1
12391891;1051796;14
12460313;1051796;2
12705519;1051796;1
21417708;1051796;2
23556385;1051796;1
25483199;1051796;14
25546605;1051796;5
29915760;1051796;1
33800547;1051796;1
38390427;1051796;1
38399410;1051796;1
41897041;1051796;1
49804602;1051796;2
50961064;1051796;6
5800591;1053906;1
16467484;1053906;1
17492160;1053906;4
19154779;1053906;2
22131934;1053906;1
27810395;1053906;3
29359255;1053906;4
32762861;1053906;3
35283296;1053906;1
41382299;1053906;1
22937325;1056014;1
50845595;1056014;1
14600871;1087127;1
15759311;1087127;1
17171489;1087127;1
26907017;1087127;1
42683756;1087127;1
51238519;1087127;1
14893743;1100308;1
14941681;1100308;1
46224246;1100308;1
3693641;1109361;1
7649896;1109361;1
8237590;1109361;7
21908506;1109361;1
24809956;1109361;2
25445097;1109361;1
27403179;1109361;1
30864969;1109361;1
31107459;1109361;1
32247691;1109361;1
34861589;1109361;1
37907642;1109361;1
45384564;1109361;2
7965926;1126886;1
8768669;1126886;1
26529276;1126886;1
26907017;1126886;1
45138878;1126886;1
12948963;1129486;1
13522886;1129486;2
17032126;1129486;5
24527794;1129486;1
32491089;1129486;1
33257338;1129486;1
33783017;1129486;2
34894627;1130569;1
27258780;1134441;1
39477327;1134441;1
21880294;1152346;1
22298163;1152346;1
5377081;1176303;1
5853059;1176303;1
6911773;1176303;1
8274330;1176303;3
8734607;1176303;1
14617186;1176303;3
15930744;1176303;2
20760547;1176303;1
21831517;1176303;1
22977241;1176303;1
24962600;1176303;1
26301826;1176303;1
28724308;1176303;1
32966007;1176303;1
33023652;1176303;1
47041330;1176303;1
47974333;1176303;5
50381251;1176303;1
51531983;1176303;1
5483770;1191122;14
8032943;1191122;11
8042154;1191122;3
11167442;1191122;11
12286430;1191122;1
12835075;1191122;1
16290893;1191122;1
17167378;1191122;1
17222300;1191122;1
17639889;1191122;9
19984154;1191122;13
21935673;1191122;5
24826693;1191122;3
24827000;1191122;2
28234947;1191122;4
34428502;1191122;7
35932370;1191122;1
36270419;1191122;4
39836074;1191122;1
