to	from	weight
21932225	34266297	1
442426	18733473	2
24017154	27756947	1
44972071	14456531	3
45384564	27477957	5
19896060	9811013	1
35281628	20510754	1
1618060	25120013	2
29131038	2174139	1
8042154	25445042	4
26299756	1003259	1
50472580	40944628	1
42072697	26907017	18
33488423	480781	4
22452718	42085507	1
35872928	19664225	1
11516994	1791959	19
41936365	12107290	2
3057532	40570947	7
38429063	32447467	1
713475	32599417	1
37604151	9246190	3
28744809	7504402	2
45733084	41941182	1
32496790	16697742	5
14154841	22069128	3
49687532	10904074	1
50271527	17228155	1
8959250	10078112	1
15644769	7102143	3
21908506	31560601	2
41360433	46279173	1
1904543	29734141	1
1721561	7462110	6
31259881	12734636	1
19980111	9557261	1
18193745	25753248	1
36597913	37398719	1
45753621	33874066	1
48757922	28468378	1
8830438	35244283	3
31075992	17032126	1
42562048	11487785	4
21127960	23806422	1
19521885	35971648	3
4690012	24809956	1
26175961	19428370	1
4081205	20025657	5
4114573	32774490	1
48939474	28604012	1
17187372	2543951	15
8740070	30016072	1
21864012	46333093	1
40904901	3057532	1
4099723	38191759	3
37936375	44509491	2
38599264	31425056	1
6178782	37610816	1
29363867	21937425	1
35985668	6835359	7
42393837	32334528	1
45475931	40850945	4
5377048	17971548	2
28144780	28644302	1
13020740	29168488	1
21894977	24809956	4
13935331	7440878	1
8537574	35278035	9
46004250	14099874	3
6890926	4583163	2
29955740	6732714	1
45978433	43410612	1
46982903	13684250	8
13407079	34430627	1
45384564	23631746	3
22515150	17105782	5
12705519	1051796	1
5790895	14224665	3
22905053	1841064	2
32762861	12624514	2
36230764	10365531	1
1053906	45357696	1
51507663	34418279	1
4081205	30819069	1
23004332	20101626	2
25661562	28468378	1
22977241	31555571	1
7921298	27631012	10
7847213	9657725	2
2543951	13675328	1
49120002	9516648	1
19022914	32245826	1
51144003	759402	2
49391538	20924881	1
6416368	29211362	1
30154625	20147594	1
20147594	50895936	1
2256426	31131635	1
18733473	14439510	1
12262792	40241868	1
32159707	31460113	2
48811338	50502462	4
19693802	32511540	5
27790520	11060713	3
22157859	1753754	1
28829165	3645922	1
23522193	51039109	1
3930469	28451771	2
1618060	6096410	5
33488423	38221693	1
18717219	19224185	2
4950736	34743960	1
16441789	48254286	4
38318370	17901713	9
1404557	13675907	2
29345127	7663064	3
7737616	42753296	1
28726113	51507663	1
7565379	18850507	1
1450690	31130137	5
8830438	25706166	1
42072697	35475084	4
9027077	45392814	1
17080835	156282	1
32684475	5368625	3
33072551	18912069	1
9111867	33800547	1
47041330	16527207	4
28937724	2977121	1
8969471	26587299	1
25553328	9282315	1
21652056	33322566	1
1129486	13522886	3
44968401	9583144	1
47514547	34855476	1
34861589	2340327	1
9036978	2512795	1
28261181	20345322	2
51509105	32696383	1
17530433	41243762	1
5155657	44972071	2
41603618	37768167	1
47955889	19503153	4
41897041	43204348	23
23122383	12936926	1
12388103	32104985	2
17977947	7849223	1
45717564	5424107	1
40771974	2341406	1
50664991	22452263	1
38315508	640275	1
7965926	38585294	1
10756203	41316471	1
29132348	13860197	1
17038578	17185496	2
40046625	10251042	1
22779723	752821	1
15169955	24051635	1
3688513	41554103	2
15438920	42067314	1
3474352	2512795	1
18393715	2981120	1
16938545	51421333	1
24869348	47041330	1
15106180	8709346	1
22775804	1038258	2
4003951	42426239	1
46439833	2469668	1
36438329	39059060	6
34855476	1023857	5
17273267	42848879	1
17709220	51085575	1
6835359	13765732	2
12794321	28627316	1
24203295	9155250	5
22758359	13500710	1
32159707	20980083	1
1783023	28221500	1
21368496	31035488	1
45054057	21213503	2
8077965	49848535	1
15584369	3987728	2
21908506	33800547	1
8231987	36346470	2
40009379	27810395	1
20801535	23108434	1
2744727	13658309	1
26907017	16930419	4
30607884	30030582	1
41829015	8768669	1
30084098	8745592	9
32966959	37263995	1
25358181	37320698	1
48084433	6149535	1
38191759	4099723	3
14055009	18117183	1
35461633	25979463	4
49739894	26907017	1
28007960	2580564	1
4842134	14809460	2
44776547	44525744	1
23409125	22807793	5
44347446	34672524	1
11799949	27382395	1
3842836	5926274	3
13110830	33826261	1
51339126	34769212	5
46539562	1696281	1
48532884	1791959	1
12605882	50061356	1
1618441	20378085	1
33072551	49392368	3
25378586	2744727	1
19036643	7603397	1
1050950	27396678	1
30819069	42635000	1
47249469	17105782	1
18740686	39503295	1
23793223	18939139	1
14456531	15003891	1
18665402	7594511	11
14468031	26907017	1
24673906	32175545	2
1191122	12286430	1
49804602	48121852	10
16960732	37937639	1
1191122	13522886	1
37391071	1191122	1
7965926	35080568	1
45557989	19173688	1
41596313	5881737	1
40186903	26299756	1
9052426	6041987	1
44174709	49910917	3
25910781	18193745	3
25532036	24491809	1
36871640	51111391	1
28498777	6759007	1
24040270	13794551	2
31692691	47403136	3
6159676	15418445	3
28007960	4081205	21
28162725	14893743	1
37807640	30159204	1
24040270	9416104	1
