Id;Label;age;n_pubs
2479291;2479291;0;1
3479552;3479552;0;1
4171429;4171429;0;1
2484205;2484205;4;3
2534594;2534594;34;103
3734265;3734265;3;5
1486054;1486054;0;1
4028605;4028605;3;6
2792666;2792666;0;1
2975585;2975585;0;1
2986666;2986666;0;2
3120266;3120266;4;12
3126835;3126835;0;1
3131698;3131698;36;57
3191560;3191560;1;2
3250641;3250641;0;1
3275107;3275107;7;16
3599417;3599417;4;2
3693641;3693641;5;25
3816711;3816711;0;1
3305197;3305197;2;3
3327040;3327040;5;8
3377898;3377898;2;2
4118276;4118276;36;53
3736110;3736110;0;2
3913766;3913766;3;3
3830385;3830385;5;4
4032105;4032105;5;15
4104924;4104924;10;9
4151183;4151183;13;13
3751170;3751170;11;32
4392294;4392294;0;1
4531309;4531309;0;1
5872264;5872264;1;2
3649175;3649175;1;2
4757411;4757411;0;1
4822320;4822320;0;1
4886195;4886195;3;3
5810178;5810178;4;4
4914576;4914576;0;1
5026398;5026398;9;28
3423931;3423931;5;9
3893002;3893002;3;6
3691199;3691199;0;1
4081214;4081214;0;1
3438622;3438622;0;1
4161434;4161434;0;1
4188610;4188610;13;36
4503708;4503708;3;2
3603691;3603691;0;1
3615055;3615055;6;5
3665829;3665829;0;1
3929315;3929315;6;4
2743243;2743243;0;1
3271784;3271784;0;1
3421496;3421496;1;3
3520350;3520350;0;1
3646301;3646301;0;1
3673770;3673770;0;1
3687606;3687606;0;1
3853680;3853680;0;1
5521084;5521084;1;5
3942613;3942613;10;12
3997965;3997965;0;1
4114578;4114578;0;1
4143208;4143208;10;14
4147127;4147127;10;5
4161431;4161431;6;4
4196988;4196988;2;6
4357285;4357285;0;1
4538013;4538013;0;2
4602214;4602214;0;1
4611563;4611563;0;1
4834536;4834536;7;12
5418293;5418293;4;5
3588099;3588099;15;26
3737639;3737639;2;4
3862368;3862368;0;1
4243727;4243727;26;27
4437308;4437308;0;1
4587269;4587269;24;37
3930469;3930469;33;263
4026214;4026214;10;8
4114573;4114573;24;20
4914648;4914648;0;1
3602754;3602754;8;5
2743137;2743137;1;5
4081205;4081205;38;690
5429265;5429265;0;1
5494077;5494077;2;2
4265816;4265816;13;11
4344657;4344657;0;1
5759335;5759335;0;1
5819667;5819667;2;4
5891340;5891340;1;3
5927504;5927504;0;1
4602163;4602163;0;1
4678507;4678507;3;5
4690012;4690012;4;9
6049072;6049072;0;1
4847412;4847412;9;5
4004446;4004446;2;6
2747920;2747920;16;14
4168916;4168916;0;1
4282023;4282023;0;1
5951200;5951200;4;5
4554486;4554486;9;6
4707174;4707174;0;2
4786422;4786422;0;1
5089704;5089704;0;1
5206206;5206206;4;4
5360529;5360529;1;2
6041529;6041529;0;1
3270742;3270742;0;2
3474657;3474657;0;1
4431220;4431220;4;8
4640396;4640396;0;1
6111285;6111285;8;24
3743770;3743770;10;9
3837553;3837553;2;3
4055815;4055815;5;4
4124039;4124039;0;2
4323392;4323392;0;1
4518519;4518519;1;2
4689487;4689487;0;1
4822317;4822317;0;1
4822319;4822319;0;1
4877510;4877510;0;1
5377048;5377048;20;29
5386529;5386529;0;1
5603700;5603700;5;8
4046486;4046486;9;9
4122379;4122379;5;12
6035940;6035940;0;1
6064335;6064335;0;1
6307652;6307652;37;41
4614176;4614176;0;1
4809814;4809814;0;1
4842134;4842134;36;36
4874105;4874105;0;1
5927684;5927684;0;1
6049052;6049052;2;2
6253208;6253208;5;4
5636501;5636501;0;2
7734879;7734879;0;1
6134946;6134946;0;1
5722214;5722214;6;7
5819397;5819397;16;49
5829138;5829138;0;1
5926221;5926221;15;18
5927023;5927023;0;1
5932571;5932571;0;2
5936649;5936649;5;6
6479596;6479596;0;2
6499351;6499351;0;1
6510130;6510130;0;1
6527695;6527695;3;4
6568158;6568158;0;1
6617744;6617744;0;1
6673696;6673696;0;1
6689186;6689186;0;2
4703245;4703245;0;1
6765415;6765415;4;4
9026458;9026458;5;2
9026626;9026626;8;32
9035017;9035017;0;1
9035099;9035099;0;1
9041302;9041302;0;1
9044042;9044042;0;1
9046045;9046045;0;1
9048235;9048235;0;1
9049458;9049458;0;1
4263288;4263288;8;19
7161699;7161699;1;3
7248803;7248803;4;3
7414056;7414056;0;1
7546487;7546487;0;1
7563499;7563499;2;2
9654245;9654245;1;3
9741304;9741304;2;2
9810978;9810978;8;12
6212581;6212581;1;4
5064975;5064975;1;3
5221446;5221446;2;3
5232967;5232967;3;6
6124211;6124211;9;32
5623028;5623028;0;1
5800591;5800591;3;3
5809897;5809897;2;3
5830607;5830607;6;7
5554415;5554415;2;2
4952635;4952635;2;2
4997791;4997791;0;1
6041987;6041987;0;1
6108860;6108860;3;4
6136225;6136225;2;2
6194746;6194746;20;74
6210815;6210815;21;45
7758262;7758262;0;1
6704817;6704817;0;1
6835359;6835359;39;109
6897220;6897220;10;19
6903654;6903654;0;1
9039885;9039885;0;1
9046437;9046437;0;1
9046687;9046687;0;1
7612566;7612566;0;1
6732749;6732749;3;4
6278922;6278922;0;1
6911773;6911773;20;45
4800170;4800170;3;3
5165170;5165170;26;207
5431000;5431000;2;3
5359407;5359407;0;1
5407848;5407848;0;1
6065082;6065082;1;6
5535423;5535423;0;1
5556381;5556381;0;1
6408313;6408313;25;66
5768561;5768561;3;6
5926368;5926368;5;4
6098318;6098318;21;37
6476336;6476336;0;1
5518511;5518511;0;1
4304402;4304402;0;1
5930607;5930607;13;42
5857219;5857219;4;5
5863880;5863880;29;18
5885667;5885667;0;1
5891681;5891681;1;2
4696607;4696607;0;1
5967264;5967264;0;2
6255052;6255052;8;14
6275844;6275844;0;1
6369091;6369091;8;11
6617612;6617612;15;21
6735763;6735763;1;3
6765518;6765518;0;3
4722657;4722657;0;1
6721637;6721637;0;1
6732714;6732714;28;90
6208912;6208912;18;33
6746886;6746886;1;4
6765240;6765240;5;3
10372749;10372749;8;8
7969062;7969062;0;1
7547262;7547262;0;1
9050671;9050671;0;1
9051407;9051407;0;1
9073299;9073299;2;5
6753888;6753888;0;1
6130237;6130237;0;1
6570943;6570943;0;1
9379907;9379907;6;3
9501539;9501539;37;78
9548076;9548076;2;4
6819098;6819098;0;1
9632533;9632533;3;3
7283170;7283170;0;1
10035280;10035280;3;3
10095812;10095812;4;5
8245172;8245172;0;1
10121684;10121684;7;13
10136288;10136288;19;29
7344406;7344406;0;1
10363346;10363346;0;1
7433818;7433818;0;1
10395325;10395325;1;4
7438589;7438589;5;9
7497322;7497322;6;2
7696997;7696997;0;1
10979727;10979727;0;1
7737616;7737616;4;2
7760069;7760069;0;1
7774184;7774184;4;5
11148662;11148662;0;1
11212395;11212395;10;14
11535858;11535858;0;1
8067545;8067545;6;6
4696251;4696251;13;24
9035996;9035996;0;1
9038887;9038887;0;1
9039570;9039570;0;1
9045771;9045771;0;1
9108275;9108275;0;1
7956602;7956602;14;42
5580658;5580658;7;8
6894524;6894524;6;4
7046093;7046093;1;2
7047261;7047261;3;5
7088909;7088909;0;1
9351558;9351558;10;10
9416736;9416736;0;1
8721666;8721666;0;1
7102143;7102143;0;3
7107644;7107644;15;17
7263940;7263940;0;1
7442245;7442245;0;1
7484308;7484308;0;1
10065382;10065382;0;1
7545493;7545493;2;4
7565379;7565379;2;9
10373762;10373762;2;3
7649896;7649896;2;6
10435028;10435028;9;40
7680346;7680346;0;1
7921625;7921625;0;1
10969879;10969879;19;33
8106967;8106967;1;3
